,Job Title,Location,Date,Link,Job Attributes,Job Description
1,"Part-Time Floating Nutrition Assistant, $18/hour"," (Waltham, MA boston/cambridge/brookline )",Nov-02,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7402424042.html,"
compensation: $18.00/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $18.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS

A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.

BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services

If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2054118-143011 "
2,"Part-Time Dining Site Assistant Manager, $18/hour"," (Waltham, MA boston/cambridge/brookline )",Nov-02,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-assistant/7402423064.html,"
compensation: $18.00 Hourly

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Community Nutrition Program seeks Part-Time Dining Site Assistants in Brookline and Needham. This position offers $18.00/hour for a 15-hour work week: Monday-Friday from 10:30 AM- 1:30 PM. Benefits include paid holidays, sick, and vacation time.

QUALIFICATIONS

Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.


We look forward to hearing from you soon!

If interested, please apply at https://springwell.applicantpro.com/jobs/


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2054110-143011 "
3,"Part-Time Home Delivered Meals Lead Driver, $18.50/hour"," (Waltham, MA boston/cambridge/brookline )",Nov-02,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-home-delivered-meals/7402421311.html,"
compensation: $18.50/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Looking to give back? Consider delivering meals to local seniors! Springwell is seeking a Part-Time Meals on Wheels Lead Driver to deliver meals to seniors living in Newton! This position will also be responsible for the packing and coordination of meals as well as record-keeping for the Newton meal program.This position offers $18.50/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. This position is benefits eligible and includes paid holidays, sick, and vacation time.
Mileage reimbursement of $0.56 per mile for route.

QUALIFICATIONS

A reliable car, current driver's license, and safe driving record required.
Must be able to lift 25lbs.
Must have excellent customer service skills and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.


For information or to apply, please visit our website at https://springwell.applicantpro.com/jobs/

We look forward to hearing from you soon!


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Meals on Wheels, Driver, Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services, Delivery
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2054087-143011 "
4,"Part-Time Home Delivered Meals Drivers, $18/hour"," (Waltham, MA boston/cambridge/brookline )",Nov-02,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-home-delivered-meals/7402420308.html,"
compensation: $18.00/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Looking to give back? Consider delivering meals to local seniors! Springwell is seeking Part-Time Meals on Wheels Drivers to deliver meals to seniors living in Brookline and Newton! This position offers $18.00/hour for a 15-hour work week: Monday - Friday from 10:00 a.m. - 1:00 p.m. Benefits include paid holidays, sick, and vacation time.
Mileage reimbursement of $0.56 per mile for route. 
QUALIFICATIONS

A reliable car, current driver's license, and safe driving record required.
Must be able to lift 25lbs.
Must have excellent customer service skills and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.


For information or to apply, please visit our website at https://springwell.applicantpro.com/jobs/

We look forward to hearing from you soon!


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Meals on Wheels, Driver, Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services, Delivery
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2054081-143011 "
5,Elder Protective Services Social Worker," (Waltham, MA boston/cambridge/brookline )",Nov-02,https://boston.craigslist.org/gbs/npo/d/waltham-elder-protective-services/7402418521.html,"
compensation: Pays $30.77/hr. ($60k annually)

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a positive and energetic team member to join our Protective Services Department! 
Pays $30.77/hr. ($60k annually).
POSITION DESCRIPTION
As a Protective Services Social Worker you will investigate reports of abuse, neglect, financial exploitation, and self-neglect of older adults to determine if there is a reasonable cause to substantiate the report. You will respond to emergency and crisis situations, conduct assessment of capacity and functional abilities as well as arrange for the delivery of services to alleviate substantiated allegations.
You must be flexible as each day is different and one call can change all your plans. You must have excellent writing skills as there is a fair amount of documentation. Organization is key if you're going to be successful and a good sense of humor never hurts. 
QUALIFICATIONS

Master's degree in Social Work or related field with one year experience in counseling or case management; or a Bachelor's degree in Social Work or related field with two years experience in counseling or case management.
Experience with crisis intervention, elders, and/or investigations.
Ability to independently organize work, take initiative, and meet deadlines.
Applicant must have a reliable car, current driver's license, and safe driving record.

GENEROUS BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.

Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Ashland, Dover, Framingham, Holliston, Hopkinton, Natick, Sherborn, Sudbury, Wayland, Boston, Westwood, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Protective Services, PS, Crisis Intervention, Crisis, Investigator, Criminal Justice, Counseling, Abuse, Neglect

If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2054068-143011 "
6,Information and Consultation Specialist, (Waltham boston/cambridge/brookline ),Nov-02,https://boston.craigslist.org/gbs/npo/d/waltham-information-and-consultation/7402416624.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking compassionate community specialists to provide consultations to older adults, family caregivers, individuals with disabilities, and community professionals.
POSITION DESCRIPTION
Information and Consultation Specialists work with consumers over the phone, via email, and in person at the Springwell office. They provide support and consultation to individuals who are seeking assistance navigating services available to them. The Specialists are able to build rapport with both non-professional and professional callers, provide empathy and support, assess needs, and make appropriate referrals to internal Springwell programs and to external agencies. Specialists build an extensive knowledge of providers, agencies, and services available to the community and use their skills to share this knowledge in a way that supports and empowers consumers. The team also conducts research for and makes updates to informational materials that are provided to the community and utilized by Springwell staff.
ESSENTIAL JOB FUNCTIONS

Assess caller's need for services and community resources; research options; provide accurate and unbiased information tailored to the caller.
Collaborate with colleagues in other Springwell departments surrounding their resource needs.
Maintain existing information sheets used by staff, community partners, and consumers; create new informational materials around topics of interest that are relevant to the Springwell community.
Update and maintain community provider records in the internal resource database; research new providers for possible inclusion in the database.

QUALIFICATIONS

Bachelor's degree and previous social service experience preferably with older adults, individuals with disabilities and/or providing customer/consumer support
Excellent organizational, interpersonal, and communication skills
Ability to learn and navigate internal computer systems
Ability to work both independently and collaboratively with co-workers, adapt to changes and problem-solve.

GENEROUS BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Referral, Information and Referral, Information and Consultation, Customer Service Representative
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2054055-143011 "
7,LIVE-IN EVENING MANAGER, (Lynn north shore ),Nov-01,https://boston.craigslist.org/nos/npo/d/lynn-live-in-evening-manager/7402195882.html,"
compensation: Live-in position, free use of staff quarters, $600 monthly stipend, plus hourly.

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Join our team and work with the disabled veterans of Habitat PLUS Inc. (HP) on the North Shore. Our veterans are extremely stable and a wonderful group of men, who truly enjoy their home, through this unique supportive housing program. This is a perfect situation for a person trying to save, pay down debt, go to school or living on a fixed income.

There are two live-in managers in our home. The position that is currently open is the Evening Manager's position.

Hours are:
Tuesday 7p - 10p & asleep overnight
Wednesday 3p - 10p & asleep overnight
Thursday 7p - 10p & asleep overnight
Friday 3p - 7p (paid hourly) 7p - 10p & asleep overnight
Saturday 9a - 10p & asleep overnight
Sundays & Mondays off
(Tuesday - Saturday asleep overnights)

In exchange for the above schedule, staff receive free use of the staff quarters: a private one bedroom apartment with galley kitchen, living room & private bath, located in a historically significant Jacob Cohen Mansard Victorian home. Staff also receive a monthly utility allowance, as well as meals, as provided to the veterans, seven days a week. Staff in this position also RECEIVE A MONTHLY STIPEND OF $600.00. There is also a separate staff entrance and the residents are extremely respectful of staff privacy and space. (Veterans are not allowed in the staff quarters.)

HP is located within walking distance of several beaches, public transportation, including the MBTA commuter rail. HP is also close to several shops and many varied restaurants. This position basically covers your housing, utilities and meal costs, while also providing a monthly income. This enables the employee to go to school or work part-time, if they choose, providing that this position be considered your primary obligation. HP employees are also eligible to take advantage of the Tuition Remission program, through the MA state college system.

This job opportunity is a win, win situation. It is rewarding to give back to those that served for you, while also covering the bulk of your living expenses and earning a monthly income for part-time work. Experience in human service is preferred, but willing to train the right person and if you are a veteran, all the better. Come join our team! If interested, please respond to this ad via email and attach a resume.  No phone calls please.
"
8,Case Manager-CBDS/VOC, (Randolph south shore ),Nov-01,https://boston.craigslist.org/sob/npo/d/randolph-case-manager-cbds-voc/7402151936.html,"
compensation: $16 Per Hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you looking for a rewarding and creative work environment?

We are seeking to hire a Case Manager to be part of our dynamic team making a difference in the lives of people served.  At GROW, we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence.

** $2,000 New Hire Sign- On Bonus**

Schedule: Monday –Friday 8am-4.30pm

 Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
BJ’s Wholesale Club Membership.
Professional Development and Education Assistance.
Free on-site parking.

Responsibilities:

Train and assist staff to support people served work towards achieving their identified goals.
Provide case management and skills training support to people served in areas such as self-care, self-preservation, advocacy, communication, decision-making, and activities of daily living.
Audit case records for assigned caseload on a regular basis to ensure compliance with DDS and agency standards.
Participate in developing, implementing and monitoring treatment plans, completing all necessary programmatic documentation and reporting significant concerns to program management in a timely manner.
Assist with running  group activities on site and in the community as needed.
Act as an advocate for the people we serve.
Develop and maintain positive relationships with guardians, family members and other service providers.
Perform other related work duties as assigned.

Qualifications:

Bachelor’s Degree in Human Services or related field preferred.
Direct Care experience working with individuals with Intellectual/Developmental Disabilities and at least one year of case management experience.
Excellent organizational, communication, and writing skills.
Demonstrated ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Ability to write clear, concise and accurate documentation.
Ability to lift 30 pounds as needed.
Valid driver’s license and acceptable driving record is required.
Current First Aid, CPR and Crisis Intervention certificates or be able to obtain these within thirty (30) days of hire.
Pass criminal background check(CORI) and National Fingerprint Background Check.

For more information and to apply, please visit https://grow-associates.org/jobs-listing/case-manager-cbds-voc/
"
9,Employment Specialist, (Randolph boston/cambridge/brookline ),Nov-01,https://boston.craigslist.org/gbs/npo/d/randolph-employment-specialist/7402151574.html,"
compensation: $16/hr

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Want to make a difference in someone’s life?

At GROW Associates, Inc. we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence. We provide services to adults with Intellectual/Developmental Disabilities in our programs that include day habilitation, employment training, transportation, transition services and community integration.

$2,000 Sign-On Bonus

Schedule: Mon-Fri (8:00am- 4:30pm)

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
Professional Development and Education Assistance.
Free BJ’s Wholesale Club Membership.
Free on-site parking.

Responsibilities:

Assist individuals served identify employment opportunities that meet their interests and abilities.
Develop and provide in-house and community based work preparedness trainings for individuals served.
Provide 1:1 job coaching supports and maintain regular contact with various employer sites as needed and identified in individuals’ support plans.
Participate as a member of the interdisciplinary team, representing the interest and needs of the individuals served.
Coordinate with supervisor and other team members in identifying potential job sites for supported employment.
Participate in the ongoing assessment, modification, and development of career goals.
Provide safe transportation to and from program using agency vehicle to support individuals served.
Assist individuals in maintaining quality job performance, consistent with employer expectations and to resolve conflicts effectively and efficiently.
Perform other related work duties as assigned by supervisor.

Qualifications:

High School Diploma or GED.
At least two years of experience working with individuals with Intellectual/ Developmental Disabilities.
Associates/Bachelor’s degree in human services or related field preferred.
Ability to work both independently and collaboratively with a culturally diverse population of individuals, co-workers, care providers, family, community members and others.
Ability to lift 30 pounds as needed.
Ability to read and write clear, concise and accurate reports.
Valid driver’s license and acceptable driving record are required.
Current First Aid, CPR and Crisis Intervention certificates or be able to obtain these within thirty (30) days of hire.
Pass criminal background check (CORI) and National Fingerprint Background Check.


For more information and to apply,  please visit https://grow-associates.org/jobs-listing/employment-specialist/

"
10,Direct Support Professional (DSP)-Day Hab, (Randolph south shore ),Nov-01,https://boston.craigslist.org/sob/npo/d/randolph-direct-support-professional/7402149901.html,"
compensation: $15 per hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you looking for a rewarding and creative work environment?

We are seeking to hire Direct Support Professionals looking for a fulfilling career to join us and be part of a dynamic team making a difference in the lives of people served.  At GROW Associates, Inc. we are committed to providing quality opportunities for people we serve guided by the values of respect, dignity and independence.

** $2,000 New Hire Sign- On Bonus**

Schedule: Monday – Friday 8am- 4pm

Generous Benefits Package:

Health, Dental and Vision Insurance.
4 weeks of Paid Time Off annually, 5 weeks after 2 years and 6 weeks after 5 years.
11 Paid Holidays.
Paid Birthday Day off.
$1,000 Employee Referral Bonus with no annual cap.
Employer Paid Life Insurance, Short and Long Term Disability Insurance.
403 (b) Retirement Plan.
Flexible Spending Account/Dependent Care Account.
Professional Development and Education Assistance.
Free BJ’s Wholesale Club Membership.
Free on-site parking.

Responsibilities:

Advocate and protect the rights and interests of people served.
Assist with activities of daily living (toileting, bathing, nutritional needs, etc.)
Ensure and promote ongoing health and safety.
Participate in developing and implementing support plans based on each person’s needs and goals.
Provide opportunities for learning and development of new skills.
Participate in various structured group/individual activities and offer meaningful choices to people served.
Attend all required trainings and meetings.
Perform other duties as assigned.

Qualifications:

High School Diploma or GED.
Experience working with individuals with disabilities/or willingness to learn.
Ability to work both independently and collaboratively within a culturally diverse population of individuals, co-workers, family members and community members.
Ability to read and write clear, concise and accurate daily reports and documentation.
Ability to lift up to 50 pounds as needed.
Valid driver’s license and acceptable driving record are required.
Pass criminal background check (CORI) and National Fingerprint Background Check.

For more information and to apply, please visit  https://grow-associates.org

"
